applicant_id,age,annual_income,employment_years,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,missed_payments_12m,debt_to_income,home_ownership,loan_purpose,default
APP100031,31,378000.0,1.1,290000.0,60,9.6,768.0,1,0,0.153,RENT,debt_consolidation,1
APP100032,25,530000.0,6.0,246000.0,48,5.0,680.0,3,1,0.116,OWN,medical,0
APP100033,45,434000.0,2.8,625000.0,36,6.55,608.0,2,1,0.48,RENT,personal,0
APP100034,60,855000.0,6.3,973000.0,84,8.23,776.0,0,0,0.163,MORTGAGE,personal,0
APP100035,23,571000.0,8.5,213000.0,36,7.41,684.0,1,0,0.124,RENT,medical,1
APP100036,59,552000.0,6.4,86000.0,36,5.0,744.0,0,0,0.052,MORTGAGE,home_improvement,1
APP100037,58,610000.0,3.7,766000.0,60,9.17,822.0,0,0,0.251,RENT,debt_consolidation,0
APP100038,33,699000.0,2.5,121000.0,36,9.87,709.0,3,1,0.058,MORTGAGE,education,1
APP100039,49,768000.0,1.8,1096000.0,36,6.87,730.0,0,1,0.476,MORTGAGE,business,1
APP100040,28,355000.0,11.2,326000.0,48,9.25,825.0,0,0,0.23,RENT,home_improvement,0
APP100041,55,600000.0,6.2,899000.0,36,11.96,680.0,2,1,0.499,OWN,personal,0
APP100042,52,897000.0,3.9,1138000.0,36,10.86,738.0,1,0,0.423,RENT,business,0
APP100043,36,548000.0,7.7,793000.0,12,6.97,717.0,1,0,1.447,RENT,personal,1
APP100044,24,557000.0,10.0,684000.0,60,5.07,774.0,1,0,0.246,OWN,medical,0
APP100045,64,838000.0,2.9,826000.0,36,8.01,653.0,0,0,0.329,OWN,debt_consolidation,1
APP100046,41,383000.0,6.0,154000.0,60,12.66,646.0,1,1,0.08,RENT,home_improvement,0
APP100047,61,563000.0,6.1,678000.0,48,10.44,688.0,2,1,0.301,MORTGAGE,home_improvement,0
APP100048,51,676000.0,12.8,682000.0,24,7.49,770.0,1,0,0.504,OWN,debt_consolidation,0
APP100049,56,828000.0,3.9,670000.0,36,10.94,833.0,0,0,0.27,OWN,education,0
APP100050,55,777000.0,2.4,746000.0,36,10.07,611.0,1,2,0.32,OWN,medical,1
APP100051,29,625000.0,6.5,304000.0,48,5.0,729.0,0,0,0.122,RENT,education,1
APP100052,37,565000.0,8.2,416000.0,36,9.84,750.0,0,0,0.245,RENT,education,0
APP100053,42,755000.0,5.7,249000.0,48,7.76,613.0,3,1,0.082,OWN,home_improvement,0
APP100054,43,661000.0,13.4,492000.0,48,5.59,688.0,2,0,0.186,MORTGAGE,home_improvement,0
APP100055,22,530000.0,3.9,438000.0,24,7.7,629.0,0,0,0.413,MORTGAGE,personal,1
APP100056,45,741000.0,5.8,1033000.0,60,8.41,762.0,0,0,0.279,RENT,debt_consolidation,0
APP100057,27,698000.0,1.4,638000.0,36,5.75,661.0,2,0,0.305,MORTGAGE,personal,1
APP100058,54,608000.0,2.3,892000.0,48,7.24,792.0,0,0,0.367,RENT,personal,0
APP100059,51,551000.0,2.9,856000.0,24,6.77,722.0,3,0,0.777,RENT,education,1
APP100060,62,884000.0,4.4,195000.0,24,9.25,709.0,1,0,0.11,RENT,education,0
APP100061,54,814000.0,1.6,827000.0,48,6.84,682.0,0,0,0.254,MORTGAGE,home_improvement,0
APP100062,37,497000.0,7.6,290000.0,36,5.0,719.0,1,1,0.195,MORTGAGE,home_improvement,0
APP100063,64,516000.0,2.7,714000.0,60,6.52,646.0,1,2,0.277,RENT,home_improvement,0
APP100064,39,913000.0,19.3,791000.0,48,5.42,779.0,1,0,0.217,MORTGAGE,business,0
APP100065,35,262000.0,2.8,69000.0,48,5.0,752.0,1,1,0.066,RENT,personal,0
APP100066,61,442000.0,5.4,204000.0,36,10.1,644.0,5,0,0.154,RENT,personal,0
APP100067,37,506000.0,4.9,570000.0,60,9.27,706.0,0,0,0.225,RENT,debt_consolidation,0
APP100068,24,435000.0,2.1,115000.0,84,5.37,777.0,2,0,0.038,RENT,personal,1
APP100069,42,396000.0,4.4,277000.0,24,5.0,805.0,0,0,0.35,RENT,medical,0
APP100070,56,671000.0,4.3,949000.0,36,7.27,639.0,1,1,0.471,MORTGAGE,debt_consolidation,1
APP100071,29,576000.0,9.3,111000.0,60,5.0,655.0,1,1,0.039,RENT,business,0
APP100072,41,504000.0,6.7,584000.0,24,6.97,678.0,1,0,0.579,RENT,debt_consolidation,1
APP100073,26,802000.0,7.6,906000.0,36,7.66,739.0,1,0,0.377,RENT,debt_consolidation,0
APP100074,51,731000.0,9.2,450000.0,84,8.17,662.0,0,0,0.088,OWN,debt_consolidation,0
APP100075,42,762000.0,7.6,239000.0,36,8.25,654.0,3,2,0.105,RENT,medical,1
APP100076,35,314000.0,6.0,94000.0,84,5.78,702.0,0,1,0.043,MORTGAGE,debt_consolidation,1
APP100077,31,251000.0,2.9,390000.0,36,7.66,,1,1,0.518,RENT,home_improvement,0
APP100078,46,663000.0,5.7,750000.0,36,10.32,708.0,0,1,0.377,MORTGAGE,debt_consolidation,0
APP100079,51,863000.0,2.4,600000.0,36,5.0,730.0,0,0,0.232,RENT,personal,1
APP100080,63,532000.0,4.6,723000.0,36,8.22,710.0,0,0,0.453,RENT,personal,0
APP100081,40,562000.0,4.2,169000.0,60,5.0,784.0,1,1,0.06,MORTGAGE,business,1
APP100082,28,286000.0,4.4,96000.0,48,10.59,650.0,0,2,0.084,RENT,medical,1
APP100083,58,509000.0,1.6,222000.0,84,9.3,698.0,0,1,0.062,RENT,business,0
APP100084,49,575000.0,0.2,723000.0,36,9.23,650.0,1,1,0.419,RENT,debt_consolidation,0
APP100085,52,531000.0,3.6,394000.0,84,5.62,781.0,0,0,0.106,OWN,debt_consolidation,0
APP100086,25,331000.0,10.6,358000.0,48,8.08,,1,0,0.27,RENT,personal,0
APP100087,35,324000.0,5.3,158000.0,24,8.33,702.0,1,1,0.244,OWN,personal,0
APP100088,55,418000.0,10.1,534000.0,36,5.0,672.0,2,0,0.426,MORTGAGE,home_improvement,0
APP100089,58,699000.0,2.5,917000.0,24,7.82,622.0,1,0,0.656,OWN,business,1
APP100090,40,622000.0,3.5,466000.0,24,8.85,681.0,1,0,0.375,RENT,personal,1
APP100091,57,921000.0,20.0,418000.0,60,5.0,725.0,0,0,0.091,OWN,personal,0
APP100092,58,493000.0,2.6,524000.0,84,8.82,746.0,1,0,0.152,MORTGAGE,education,1
APP100093,38,719000.0,7.5,375000.0,12,7.72,688.0,0,0,0.522,OWN,personal,1
APP100094,61,811000.0,7.4,296000.0,24,10.54,584.0,1,1,0.182,RENT,personal,0
APP100095,33,532000.0,6.9,555000.0,24,6.59,596.0,0,1,0.522,RENT,debt_consolidation,1
APP100096,31,502000.0,7.5,449000.0,60,7.89,698.0,2,1,0.179,OWN,debt_consolidation,1
APP100097,51,490000.0,2.6,630000.0,48,8.25,742.0,1,0,0.321,RENT,personal,0
APP100098,49,618000.0,3.8,355000.0,36,5.0,719.0,2,0,0.191,MORTGAGE,home_improvement,0
APP100099,27,658000.0,0.3,314000.0,48,6.72,688.0,1,0,0.119,MORTGAGE,home_improvement,0
APP100100,58,926000.0,13.1,999000.0,84,7.69,755.0,1,0,0.154,MORTGAGE,business,0
APP100101,29,476000.0,7.5,555000.0,24,5.0,615.0,2,0,0.583,MORTGAGE,business,0
APP100102,57,708000.0,2.9,531000.0,24,8.98,569.0,2,1,0.375,MORTGAGE,education,0
APP100103,21,241000.0,2.5,191000.0,48,7.69,599.0,2,1,0.198,RENT,home_improvement,1
APP100104,56,825000.0,10.8,272000.0,84,7.68,723.0,1,0,0.047,RENT,personal,0
APP100105,56,494000.0,2.7,410000.0,48,9.09,731.0,1,1,0.207,RENT,business,0
APP100106,56,724000.0,2.9,1118000.0,60,6.6,670.0,0,0,0.309,RENT,medical,0
APP100107,50,1019000.0,2.0,321000.0,60,7.6,666.0,1,0,0.063,RENT,debt_consolidation,0
APP100108,42,518000.0,8.5,504000.0,24,9.4,763.0,1,0,0.486,RENT,debt_consolidation,0
APP100109,52,1120000.0,10.0,198000.0,48,7.62,717.0,0,0,0.044,RENT,business,0
APP100110,33,572000.0,4.2,356000.0,60,5.0,729.0,1,0,0.124,RENT,education,0
APP100111,56,595000.0,10.1,746000.0,24,7.61,,1,0,0.627,OWN,business,1
APP100112,46,485000.0,6.5,472000.0,48,7.64,655.0,1,0,0.243,MORTGAGE,business,0
APP100113,41,874000.0,1.9,234000.0,24,9.48,767.0,3,1,0.134,RENT,business,0
APP100114,43,732000.0,12.5,589000.0,60,6.74,696.0,0,0,0.161,OWN,medical,1
APP100115,46,465000.0,2.0,123000.0,24,5.35,791.0,1,1,0.132,OWN,personal,0
APP100116,22,405000.0,4.5,280000.0,36,5.36,750.0,1,0,0.23,OWN,business,0
APP100117,27,527000.0,4.2,667000.0,48,10.67,725.0,2,0,0.316,RENT,education,0
APP100118,32,485000.0,3.7,254000.0,36,8.14,645.0,0,0,0.175,MORTGAGE,medical,0
APP100119,26,466000.0,0.7,376000.0,24,10.56,722.0,2,0,0.403,RENT,home_improvement,1
APP100120,40,965000.0,17.4,845000.0,24,10.88,722.0,0,1,0.438,MORTGAGE,business,1
APP100121,51,396000.0,0.8,549000.0,60,5.86,709.0,0,0,0.277,RENT,debt_consolidation,1
APP100122,50,803000.0,13.0,262000.0,84,5.7,665.0,1,0,0.047,MORTGAGE,education,0
APP100123,42,520000.0,2.4,493000.0,48,7.22,764.0,1,0,0.237,OWN,education,0
APP100124,59,566000.0,3.1,110000.0,12,8.85,768.0,1,0,0.194,MORTGAGE,education,0
APP100125,46,833000.0,12.2,238000.0,48,5.0,622.0,0,1,0.071,RENT,personal,0
APP100126,24,259000.0,7.0,122000.0,48,8.5,664.0,1,1,0.118,RENT,personal,1
APP100127,55,242000.0,1.4,289000.0,36,8.39,642.0,1,2,0.398,OWN,debt_consolidation,0
APP100128,46,576000.0,1.4,121000.0,24,5.02,741.0,0,0,0.105,RENT,debt_consolidation,0
APP100129,49,599000.0,6.3,911000.0,24,5.1,740.0,0,0,0.76,RENT,personal,1
APP100130,46,347000.0,2.0,267000.0,12,8.48,711.0,1,0,0.769,RENT,personal,1
APP100131,45,350000.0,7.2,478000.0,48,12.06,734.0,3,0,0.341,RENT,personal,1
APP100132,25,782000.0,7.7,369000.0,36,6.85,829.0,1,0,0.157,RENT,debt_consolidation,1
APP100133,46,627000.0,2.6,401000.0,36,8.23,691.0,2,0,0.213,RENT,home_improvement,0
APP100134,56,629000.0,3.3,757000.0,36,6.17,765.0,2,0,0.401,OWN,debt_consolidation,0
APP100135,34,860000.0,6.4,602000.0,48,8.02,820.0,1,0,0.175,MORTGAGE,debt_consolidation,0
APP100136,48,721000.0,2.5,639000.0,48,6.12,809.0,0,0,0.222,RENT,education,0
APP100137,22,711000.0,5.3,941000.0,36,6.93,739.0,0,1,0.441,RENT,personal,1
APP100138,36,539000.0,20.8,590000.0,24,12.89,798.0,0,0,0.547,MORTGAGE,personal,0
APP100139,40,387000.0,6.6,527000.0,12,7.74,757.0,0,0,1.362,OWN,business,1
APP100140,65,777000.0,3.7,214000.0,36,5.0,792.0,0,1,0.092,MORTGAGE,debt_consolidation,0
APP100141,30,714000.0,18.5,737000.0,36,8.91,708.0,0,1,0.344,RENT,home_improvement,0
APP100142,33,742000.0,8.9,758000.0,36,9.98,699.0,2,0,0.341,MORTGAGE,personal,1
APP100143,39,263000.0,2.0,271000.0,36,8.99,679.0,1,0,0.343,RENT,medical,0
APP100144,65,774000.0,2.4,777000.0,24,7.11,813.0,2,1,0.502,RENT,home_improvement,0
APP100145,59,764000.0,1.0,916000.0,24,5.48,778.0,0,1,0.599,RENT,education,0
APP100146,22,598000.0,6.3,822000.0,48,5.54,672.0,3,0,0.344,MORTGAGE,education,1
APP100147,31,382000.0,0.6,184000.0,36,7.08,655.0,0,0,0.161,RENT,home_improvement,0
APP100148,57,892000.0,18.5,269000.0,48,6.69,737.0,1,0,0.075,OWN,medical,0
APP100149,23,321000.0,4.1,83000.0,24,6.27,732.0,0,0,0.129,MORTGAGE,personal,0
APP100150,59,672000.0,9.3,255000.0,60,10.17,697.0,0,2,0.076,MORTGAGE,debt_consolidation,0
APP100151,33,337000.0,3.8,371000.0,36,9.53,606.0,1,1,0.367,MORTGAGE,debt_consolidation,1
APP100152,62,584000.0,6.3,440000.0,48,10.29,692.0,0,0,0.188,RENT,debt_consolidation,0
APP100153,34,472000.0,4.5,310000.0,36,5.77,769.0,3,0,0.219,MORTGAGE,business,1
APP100154,40,479000.0,5.2,704000.0,36,5.47,737.0,3,0,0.49,MORTGAGE,home_improvement,0
APP100155,50,572000.0,11.3,832000.0,60,7.67,658.0,2,1,0.291,MORTGAGE,home_improvement,0
APP100156,26,392000.0,15.1,365000.0,24,8.41,710.0,1,3,0.466,RENT,medical,1
APP100157,46,992000.0,14.3,808000.0,12,7.66,793.0,1,0,0.815,OWN,education,0
APP100158,43,810000.0,,439000.0,24,8.26,900.0,0,0,0.271,RENT,debt_consolidation,0
APP100159,56,669000.0,2.8,546000.0,84,10.99,705.0,1,0,0.117,OWN,medical,0
APP100160,65,457000.0,6.7,341000.0,60,7.02,641.0,3,1,0.149,RENT,personal,0
APP100161,50,787000.0,2.8,126000.0,48,9.28,652.0,1,2,0.04,RENT,personal,0
APP100162,39,641000.0,11.0,801000.0,36,8.64,728.0,1,2,0.417,RENT,education,1
APP100163,39,443000.0,2.1,348000.0,12,7.71,637.0,2,0,0.786,MORTGAGE,medical,1
APP100164,39,556000.0,11.4,263000.0,60,9.17,,0,2,0.095,OWN,personal,1
APP100165,57,792000.0,5.8,884000.0,24,5.81,716.0,2,0,0.558,RENT,medical,1
APP100166,35,120000.0,4.7,96000.0,24,5.37,756.0,2,1,0.4,OWN,personal,0
APP100167,28,356000.0,5.1,215000.0,60,8.45,664.0,1,1,0.121,OWN,debt_consolidation,0
APP100168,36,470000.0,1.8,228000.0,24,5.0,642.0,2,2,0.243,RENT,business,1
APP100169,22,385000.0,1.9,91000.0,60,8.63,744.0,1,0,0.047,RENT,medical,0
APP100170,25,847000.0,5.9,745000.0,60,5.02,689.0,1,0,0.176,OWN,home_improvement,0
APP100171,25,420000.0,5.9,292000.0,60,10.84,661.0,3,0,0.139,RENT,debt_consolidation,0
APP100172,55,763000.0,2.9,159000.0,48,6.63,820.0,1,0,0.052,MORTGAGE,personal,0
APP100173,53,888000.0,,1179000.0,36,10.7,759.0,0,0,0.443,RENT,home_improvement,1
APP100174,52,748000.0,7.1,989000.0,48,7.04,792.0,1,0,0.331,RENT,education,0
APP100175,41,425000.0,2.5,366000.0,60,6.94,728.0,1,1,0.172,RENT,business,0
APP100176,53,385000.0,0.8,526000.0,48,9.41,650.0,1,2,0.342,OWN,business,0
APP100177,28,691000.0,13.4,586000.0,60,8.14,658.0,3,1,0.17,RENT,personal,1
APP100178,61,937000.0,6.2,370000.0,84,7.35,637.0,4,1,0.056,RENT,home_improvement,0
APP100179,43,631000.0,3.4,568000.0,48,6.61,668.0,2,0,0.225,OWN,personal,0
APP100180,63,847000.0,2.8,511000.0,60,6.63,,0,1,0.121,MORTGAGE,debt_consolidation,0
APP100181,27,831000.0,2.5,670000.0,24,12.69,617.0,1,2,0.403,OWN,personal,1
APP100182,43,766000.0,11.0,1193000.0,84,5.0,739.0,2,1,0.222,RENT,education,0
APP100183,52,415000.0,1.5,276000.0,60,5.0,633.0,1,1,0.133,OWN,debt_consolidation,0
APP100184,43,596000.0,6.7,276000.0,12,10.09,792.0,2,0,0.463,RENT,personal,1
APP100185,41,782000.0,6.7,263000.0,48,9.92,710.0,1,2,0.084,RENT,business,0
APP100186,28,484000.0,8.6,693000.0,36,5.47,719.0,3,1,0.477,OWN,personal,1
APP100187,38,748000.0,3.7,128000.0,60,5.0,740.0,0,0,0.034,RENT,personal,0
APP100188,31,578000.0,12.7,847000.0,24,10.3,731.0,1,1,0.733,RENT,debt_consolidation,1
APP100189,34,610000.0,8.8,146000.0,36,5.2,686.0,0,1,0.08,RENT,personal,0
APP100190,51,547000.0,3.6,679000.0,36,6.42,653.0,0,1,0.414,RENT,personal,0
APP100191,49,600000.0,2.7,345000.0,36,7.71,692.0,1,0,0.192,OWN,debt_consolidation,0
APP100192,48,624000.0,4.5,320000.0,84,5.14,620.0,1,1,0.073,MORTGAGE,business,0
APP100193,37,273000.0,3.5,112000.0,36,9.53,715.0,1,1,0.137,RENT,personal,0
APP100194,64,595000.0,2.3,205000.0,36,7.55,633.0,1,1,0.115,RENT,personal,1
APP100195,24,273000.0,5.3,67000.0,60,5.56,738.0,0,1,0.049,RENT,personal,0
APP100196,36,454000.0,4.1,170000.0,24,5.75,738.0,0,1,0.187,OWN,education,1
APP100197,26,463000.0,14.7,465000.0,36,10.35,755.0,1,0,0.335,MORTGAGE,education,0
APP100198,36,660000.0,3.5,644000.0,24,6.89,644.0,3,1,0.488,RENT,medical,0
APP100199,64,820000.0,2.7,457000.0,60,8.85,633.0,2,1,0.111,RENT,education,0
APP100200,37,616000.0,5.0,700000.0,60,7.48,644.0,2,1,0.227,MORTGAGE,home_improvement,0
APP100201,61,499000.0,6.1,632000.0,48,5.0,672.0,1,0,0.317,RENT,debt_consolidation,0
APP100202,43,570000.0,6.4,896000.0,36,9.14,732.0,0,0,0.524,OWN,business,1
APP100203,52,437000.0,6.4,344000.0,36,9.86,727.0,0,0,0.262,OWN,personal,0
APP100204,41,536000.0,5.2,372000.0,36,11.55,798.0,1,1,0.231,MORTGAGE,business,0
APP100205,32,598000.0,4.9,934000.0,36,5.0,823.0,1,0,0.521,MORTGAGE,education,0
APP100206,55,822000.0,7.8,1246000.0,24,5.0,792.0,0,1,0.758,RENT,personal,0
APP100207,64,731000.0,2.2,1092000.0,24,8.91,685.0,0,1,0.747,RENT,business,1
APP100208,32,663000.0,2.7,685000.0,60,6.18,620.0,0,1,0.207,OWN,debt_consolidation,1
APP100209,56,639000.0,1.2,668000.0,48,5.0,705.0,0,1,0.261,OWN,education,0
APP100210,32,433000.0,2.2,648000.0,24,7.74,702.0,1,0,0.748,RENT,personal,0
APP100211,53,821000.0,10.2,694000.0,84,6.51,698.0,5,0,0.121,OWN,personal,0
APP100212,56,812000.0,7.5,373000.0,36,5.0,759.0,0,0,0.153,MORTGAGE,education,0
APP100213,41,609000.0,16.0,961000.0,48,7.32,754.0,1,1,0.394,OWN,business,1
APP100214,54,794000.0,13.6,1089000.0,24,8.75,622.0,3,0,0.686,MORTGAGE,personal,0
APP100215,33,495000.0,7.6,114000.0,60,7.88,760.0,2,1,0.046,RENT,home_improvement,0
APP100216,24,160000.0,5.6,50000.0,12,7.9,766.0,2,0,0.312,OWN,debt_consolidation,0
APP100217,25,527000.0,5.1,753000.0,84,8.48,634.0,1,2,0.204,RENT,debt_consolidation,1
APP100218,41,308000.0,0.5,181000.0,48,5.0,733.0,1,1,0.147,MORTGAGE,business,0
APP100219,61,722000.0,4.7,837000.0,24,7.39,707.0,1,0,0.58,RENT,personal,1
APP100220,26,213000.0,3.1,68000.0,24,8.03,728.0,0,0,0.16,MORTGAGE,debt_consolidation,0
APP100221,41,416000.0,2.3,165000.0,60,6.67,717.0,0,0,0.079,RENT,debt_consolidation,1
APP100222,52,577000.0,6.7,712000.0,12,5.68,685.0,1,0,1.234,OWN,education,1
APP100223,30,662000.0,4.3,1039000.0,24,5.86,633.0,3,0,0.785,MORTGAGE,business,1
APP100224,53,553000.0,5.4,486000.0,48,6.85,854.0,3,0,0.22,RENT,education,0
APP100225,34,317000.0,2.0,67000.0,12,9.51,731.0,0,1,0.211,MORTGAGE,home_improvement,1
APP100226,57,755000.0,9.0,370000.0,36,10.86,690.0,0,2,0.163,RENT,home_improvement,0
APP100227,47,541000.0,3.5,248000.0,36,10.41,818.0,1,0,0.153,RENT,education,0
APP100228,45,717000.0,6.5,1080000.0,12,5.0,613.0,0,1,1.506,OWN,personal,1
APP100229,28,311000.0,3.7,236000.0,36,5.43,668.0,2,1,0.253,OWN,education,0
APP100230,41,532000.0,0.4,811000.0,12,8.95,678.0,1,0,1.524,OWN,personal,1
APP100231,59,1057000.0,6.9,1476000.0,84,10.36,679.0,0,1,0.199,OWN,medical,0
APP100232,21,394000.0,4.5,317000.0,24,5.37,713.0,2,0,0.402,MORTGAGE,debt_consolidation,0
APP100233,55,621000.0,1.1,116000.0,48,7.9,,0,0,0.047,OWN,personal,0
APP100234,43,280000.0,1.8,437000.0,48,5.01,599.0,3,0,0.39,RENT,education,0
APP100235,53,550000.0,9.2,91000.0,60,8.11,655.0,0,1,0.033,RENT,medical,0
APP100236,50,632000.0,1.1,879000.0,36,6.08,588.0,0,3,0.464,RENT,medical,1
APP100237,40,481000.0,3.4,360000.0,24,7.9,702.0,0,0,0.374,MORTGAGE,personal,0
APP100238,34,749000.0,16.9,440000.0,36,5.0,636.0,1,2,0.196,MORTGAGE,home_improvement,1
APP100239,49,693000.0,7.1,514000.0,48,5.0,,0,0,0.185,RENT,education,0
APP100240,27,315000.0,8.4,210000.0,48,14.32,720.0,1,0,0.167,OWN,personal,1
APP100241,47,732000.0,4.0,841000.0,12,7.65,609.0,0,0,1.149,RENT,debt_consolidation,1
APP100242,25,226000.0,1.0,222000.0,48,12.2,654.0,1,0,0.246,MORTGAGE,debt_consolidation,1
APP100243,50,504000.0,5.7,263000.0,24,10.82,734.0,1,0,0.261,OWN,business,0
APP100244,49,601000.0,1.9,550000.0,36,5.0,718.0,0,0,0.305,OWN,personal,0
APP100245,24,649000.0,1.7,478000.0,36,8.3,618.0,1,0,0.246,RENT,debt_consolidation,1
APP100246,55,493000.0,5.3,732000.0,24,5.0,775.0,0,0,0.742,RENT,personal,1
APP100247,39,530000.0,2.0,765000.0,84,6.85,674.0,3,2,0.206,RENT,medical,1
APP100248,56,667000.0,4.8,697000.0,48,5.0,802.0,0,2,0.261,RENT,debt_consolidation,1
APP100249,22,514000.0,2.8,797000.0,24,5.0,786.0,1,1,0.775,RENT,home_improvement,1
APP100250,29,658000.0,4.7,457000.0,12,5.62,682.0,0,0,0.695,RENT,medical,1
APP100251,43,486000.0,3.2,135000.0,60,6.3,719.0,0,0,0.056,RENT,medical,0
APP100252,29,633000.0,4.8,139000.0,60,7.59,703.0,0,1,0.044,RENT,education,0
APP100253,35,813000.0,12.8,1104000.0,12,5.22,816.0,0,0,1.358,OWN,home_improvement,1
APP100254,50,920000.0,8.5,650000.0,24,7.83,693.0,0,1,0.353,RENT,debt_consolidation,1
APP100255,27,540000.0,4.4,755000.0,48,10.0,766.0,1,1,0.35,MORTGAGE,debt_consolidation,0
APP100256,51,718000.0,11.5,585000.0,36,8.1,722.0,1,1,0.272,MORTGAGE,medical,0
APP100257,25,408000.0,6.6,68000.0,36,7.35,661.0,0,1,0.056,RENT,debt_consolidation,1
APP100258,28,330000.0,10.9,302000.0,36,8.25,631.0,2,1,0.305,RENT,personal,0
APP100259,47,506000.0,1.3,512000.0,36,5.0,779.0,0,0,0.337,OWN,education,0
APP100260,56,627000.0,2.0,505000.0,24,9.59,722.0,3,1,0.403,RENT,home_improvement,0
APP100261,28,470000.0,5.7,642000.0,36,5.0,774.0,2,0,0.455,OWN,debt_consolidation,0
APP100262,34,595000.0,4.3,645000.0,12,10.91,550.0,1,1,1.084,RENT,debt_consolidation,1
APP100263,62,461000.0,4.8,313000.0,12,9.2,713.0,1,0,0.679,RENT,business,1
APP100264,65,700000.0,7.3,835000.0,84,8.72,804.0,0,0,0.17,RENT,debt_consolidation,0
APP100265,47,900000.0,,552000.0,12,8.82,653.0,0,0,0.613,RENT,business,1
APP100266,41,755000.0,9.1,1031000.0,12,7.5,733.0,4,0,1.366,MORTGAGE,home_improvement,1
APP100267,36,665000.0,8.9,370000.0,60,5.77,698.0,1,0,0.111,OWN,business,0
APP100268,48,622000.0,2.1,695000.0,84,5.43,636.0,4,0,0.16,RENT,education,1
APP100269,47,482000.0,0.4,362000.0,60,11.35,672.0,1,0,0.15,OWN,personal,0
APP100270,34,215000.0,2.0,64000.0,24,7.73,802.0,1,0,0.149,RENT,business,0
APP100271,22,473000.0,1.9,503000.0,48,5.05,755.0,2,0,0.266,RENT,debt_consolidation,0
APP100272,27,120000.0,5.1,85000.0,48,8.64,724.0,0,0,0.177,RENT,business,1
APP100273,64,645000.0,5.0,690000.0,60,8.25,823.0,0,1,0.214,OWN,business,0
APP100274,39,533000.0,4.1,497000.0,24,6.78,630.0,0,0,0.466,MORTGAGE,medical,0
APP100275,42,515000.0,6.7,108000.0,36,5.52,698.0,0,0,0.07,OWN,education,0
